TITULO EVENTO;FECHA;LUGAR;URL EVENTO;FUENTE
YOLI SAA;27/05/2026;Sala El Sol;https://salaelsol.com/eventos/yoli-saa/;https://salaelsol.com/agenda/
Expertas en nada;27/05/2026;Pequeño Teatro Gran Vía;https://gruposmedia.com/cartelera/expertas-en-nada/;https://gruposmedia.com/pequeno-teatro-gran-via/
Molchat Doma;27/05/2026;Sala La Riviera;https://www.ticketmaster.es/event/molchat-doma-entradas/434961262?language=en-us;https://salariviera.com/conciertossalariviera/
Ibermúsica. The Constellation Orchestra;27/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ibermusica-the-constellation-orchestra;https://auditorionacional.inaem.gob.es/es/programacion
MIND ENTERPRISES;28/05/2026;Sala But;https://www.ticketmaster.es/event/suzanne-vega-entradas/472294341?utm_medium=affiliate&clickId=RQXz940A9xyZRIa0CPXvKw4BUkuxRf25h2L83A0&irgwc=1&afsrc=1&utm_source=3199548-GESTIONTICKETS.ONLINE%2CS.L&utm_campaign=3199548;https://www.salabut.es/agenda-conciertos/
Cave Sessions: Pulpix + Syperx + Raulnvkx;28/05/2026;Sala El Sol;https://salaelsol.com/eventos/cave-sessions-pulpix-syperx-raulnvkx/;https://salaelsol.com/agenda/
LAAZA;28/05/2026;Sala El Sol;https://salaelsol.com/eventos/laaza/;https://salaelsol.com/agenda/
Enol;28/05/2026;Sala La Riviera;https://dice.fm/event/k6ko2p-enol-en-madrid-28th-may-la-riviera-madrid-tickets;https://salariviera.com/conciertossalariviera/
SONIA GÓMEZ;28/05/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=sonia-g-mez;https://www.movistararena.es/calendario
LA OREJA DE VAN GOGH TANTAS COSAS QUE CONTAR TOUR 2026;28/05/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=la-oreja-de-van-gogh-tantas-cosas-que-contar-tour-2026;https://www.movistararena.es/calendario
ANTONY Z;29/05/2026;Sala But;https://ochoymedioclub.com/conciertos/la-milagrosa/?srsltid=AfmBOoo_cVxUEtqSTP1YJIGEMJc6aF9OKyo6H--DHw3awXrdF6_zMayp;https://www.salabut.es/agenda-conciertos/
LA ÉLITE album release party (+ Club & Infanta);29/05/2026;Sala El Sol;https://salaelsol.com/eventos/la-elite-album-release-party-club-infanta/;https://salaelsol.com/agenda/
Neon StarClub: El Wiwi + Virtual Flavour + La Trampa;29/05/2026;Sala El Sol;https://salaelsol.com/eventos/neon-starclub-7/;https://salaelsol.com/agenda/
TERROR MILK + PABLO SOLO;29/05/2026;Sala El Sol;https://salaelsol.com/eventos/terror-milk-pablo-solo/;https://salaelsol.com/agenda/
Noche de chicas;29/05/2026;Pequeño Teatro Gran Vía;https://gruposmedia.com/cartelera/noche-de-chicas/;https://gruposmedia.com/pequeno-teatro-gran-via/
Vega;29/05/2026;Sala La Riviera;https://www.entradas.com/artist/vega/?affiliate=ABG;https://salariviera.com/conciertossalariviera/
Ciao Franco: Tributo a Franco Battiato (Duo);29/05/2026;Café Berlín;https://berlincafe.es/programa/ciao-franco-tributo-a-franco-battiato/;https://berlincafe.es/programas/
DABUTI 2026;29/05/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=dabuti-2026;https://www.movistararena.es/calendario
LA OREJA DE VAN GOGH TANTAS COSAS QUE CONTAR TOUR 2026;29/05/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=la-oreja-de-van-gogh-tantas-cosas-que-contar-tour-2026;https://www.movistararena.es/calendario
CNDM. Diego del Morao;29/05/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/cndm-diego-del-morao;https://auditorionacional.inaem.gob.es/es/programacion
OCNE. Sinfónico 22;29/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-sinfonico-22-4;https://auditorionacional.inaem.gob.es/es/programacion
Liniker – IBEROEXPERIA SESSIONS;30/05/2026;Teatro Eslava;https://teatroeslava.com/conciertos/liniker-en-el-teatro-eslava-conciertos-en-madrid/;https://teatroeslava.com/conciertos-madrid/
PUBLIC IMAGE LIMITED;30/05/2026;Sala But;https://movingtickets.com/Entradas-La-Perra-Blanco-concierto-en-Sala-But-Madrid/;https://www.salabut.es/agenda-conciertos/
ALIS + SOYLA + PATRICIA DOMÍNGUEZ;30/05/2026;Sala El Sol;https://salaelsol.com/eventos/alis-soyla/;https://salaelsol.com/agenda/
El nuevo musical de los 80s 90s;30/05/2026;Teatro Gran Vía;https://gruposmedia.com/cartelera/el-musical-de-los-80s-90s/;https://gruposmedia.com/teatro-gran-via/
No hay negros en el Tíbet;30/05/2026;Teatro Fígaro;https://gruposmedia.com/cartelera/no-hay-negros-en-el-tibet/;https://gruposmedia.com/teatro-figaro/
Palabras mayores - Alex O’Dogherty;30/05/2026;Capitol Gran Vía;https://gruposmedia.com/cartelera/palabras-mayores-alex-odogherty/;https://gruposmedia.com/capitol-gran-via/
Dewolff + Israel Nash;30/05/2026;Sala La Riviera;https://feverup.com/m/519683;https://salariviera.com/conciertossalariviera/
Stormy Mondays en Cafe Berlín;30/05/2026;Café Berlín;https://berlincafe.es/programa/stormy-mondays-en-cafe-berlin/;https://berlincafe.es/programas/
DA IGUAL;30/05/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=da-igual;https://www.movistararena.es/calendario
OCNE. Sinfónico 22;30/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-sinfonico-22-4;https://auditorionacional.inaem.gob.es/es/programacion
Excelentia. Vivaldi y Piazzolla: Las Cuatro Estaciones;30/05/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/excelentia-vivaldi-y-piazzolla-las-cuatro-estaciones;https://auditorionacional.inaem.gob.es/es/programacion
Grupo Concertante Talía. Ciclo Sinfónico-Coral. Musicales en el Cine;30/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/grupo-concertante-talia-ciclo-sinfonico-coral-musicales-en-el-cine;https://auditorionacional.inaem.gob.es/es/programacion
CANCELADO EL BOBO DE LAS 3000 (Sound Isidro);31/05/2026;Sala El Sol;https://salaelsol.com/eventos/el-bobo-de-las-3000-sound-isidro/;https://salaelsol.com/agenda/
Cancelado;31/05/2026;Sala El Sol;https://salaelsol.com/agenda/;https://salaelsol.com/agenda/
Rata Blanca;31/05/2026;Sala La Riviera;https://www.entradas.com/event/rata-blanca-gira-espana-2026-sala-la-riviera-20771997/?affiliate=RIV;https://salariviera.com/conciertossalariviera/
AWARE 2026;31/05/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=aware-2026;https://www.movistararena.es/calendario
LA OREJA DE VAN GOGH TANTAS COSAS QUE CONTAR TOUR 2026;31/05/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=la-oreja-de-van-gogh-tantas-cosas-que-contar-tour-2026;https://www.movistararena.es/calendario
OCNE. Sinfónico 22;31/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-sinfonico-22-4;https://auditorionacional.inaem.gob.es/es/programacion
Filarmonía de Madrid. Sinfonía nº8 'de los Mil', G. Mahler;31/05/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/filarmonia-de-madrid-sinfonia-no8-de-los-mil-g-mahler;https://auditorionacional.inaem.gob.es/es/programacion
FILLAS DE CASSANDRA (Escenarios Vibra Mahou + AIE En Ruta);01/06/2026;Sala El Sol;https://salaelsol.com/eventos/fillas-de-cassandra-escenarios-vibra-mahou-aie-en-ruta/;https://salaelsol.com/agenda/
Visitas dialogadas Matadero Madrid Centro de Creación Contemporánea;01/06/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/visitas-dialogadas-matadero-madrid-centro-de-creacion-contemporanea-0;https://www.mataderomadrid.org/programacion
'CLEOPATRA', LA EXPOSICIÓN INMERSIVA;01/06/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/cleopatra-la-exposicion-inmersiva;https://www.mataderomadrid.org/programacion
EXPOSICIÓN FOTOGRÁFICA 'THE ANIMALS' DE ESTELA DE CASTRO;01/06/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/exposicion-fotografica-animals-de-estela-de-castro;https://www.mataderomadrid.org/programacion
Fundación Scherzo. Arcadi Volodos;01/06/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/fundacion-scherzo-arcadi-volodos-4;https://auditorionacional.inaem.gob.es/es/programacion
30 Abr 24;02/06/2026;Sala El Sol;https://salaelsol.com/agenda/;https://salaelsol.com/agenda/
Dani Martínez - Remember;02/06/2026;Teatro Gran Vía;https://gruposmedia.com/cartelera/dani-martinez-remember/;https://gruposmedia.com/teatro-gran-via/
OCNE. Satélite 22. Trapecio;02/06/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/ocne-satelite-22-trapecio;https://auditorionacional.inaem.gob.es/es/programacion
Excelentia. DJ Symphonic & Royal Film Concert Orchestra;02/06/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/excelentia-dj-symphonic-royal-film-concert-orchestra-1;https://auditorionacional.inaem.gob.es/es/programacion
«M’Afrika» – Un viaje musical por África;03/06/2026;Café Berlín;https://berlincafe.es/programa/mafrika-un-viaje-musical-por-africa/;https://berlincafe.es/programas/
CNDM. Vespres d’Arnadí;03/06/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/cndm-vespres-d2019arnadi-5;https://auditorionacional.inaem.gob.es/es/programacion
WWE European Summer Tour;04/06/2026;Arena;https://www.palaciovistalegre.com/event/wwe-european-summer-tour/;https://www.palaciovistalegre.com/events/
Clutch + Bokassa;04/06/2026;Sala La Riviera;https://feverup.com/m/519684;https://salariviera.com/conciertossalariviera/
Inês Fonseca;04/06/2026;Café Berlín;https://berlincafe.es/programa/ines-fonseca/;https://berlincafe.es/programas/
MEMOCRACIA;05/06/2026;Sala El Sol;https://salaelsol.com/eventos/memocracia/;https://salaelsol.com/agenda/
Conversaciones con mi mente;05/06/2026;Pequeño Teatro Gran Vía;https://gruposmedia.com/cartelera/conversaciones-con-mi-mente/;https://gruposmedia.com/pequeno-teatro-gran-via/
¡Cuidado!... con La Mariví - Laila Kale;05/06/2026;Pequeño Teatro Gran Vía;https://gruposmedia.com/cartelera/cuidado-con-la-marivi-laila-kale/;https://gruposmedia.com/pequeno-teatro-gran-via/
Pantomima Full - Hecho a Mano;05/06/2026;Capitol Gran Vía;https://gruposmedia.com/cartelera/pantomima-full-hecho-a-mano/;https://gruposmedia.com/capitol-gran-via/
K decirte k no sepas - Lala y Bertus;05/06/2026;Capitol Gran Vía;https://gruposmedia.com/cartelera/k-decirte-k-no-sepas-lala-y-bertus/;https://gruposmedia.com/capitol-gran-via/
Regreso a los 80, una ...;05/06/2026;Teatro Real Carlos III de Aranjuez;https://teatroaranjuez.es/cartelera/regreso-a-los-80-una-movida-de-musical/;https://teatroaranjuez.es/cartelera/
Narco en Sound Isidro;05/06/2026;Sala La Riviera;https://dice.fm/event/7dpmrp-narco-en-sound-isidro-5th-jun-la-riviera-madrid-tickets;https://salariviera.com/conciertossalariviera/
